Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
DMAP 2016	DMAP	2016	Second International Conference on Data Mining and Applications	Vienna, Austria
OPTLJ 2016	OPTLJ	2016	Integrated Optics and Lightwave : An International Journal	N/A
ACSTY 2016	ACSTY	2016	Second International Conference on Advances in Computer Science and Information Technology	Chennai,India
IJOE 2016	IJOE	2016	International Journal on Organic Electronics	N/A
IJAIA 2016	IJAIA	2016	International Journal of Artificial Intelligence & Applications	N/A
JANT 2016	JANT	2016	International Journal of Antennas	N/A
IJDMS 2016	IJDMS	2016	International Journal of Database Management Systems	N/A
IJDKP 2016	IJDKP	2016	International Journal of Data Mining & Knowledge Management Process	N/A
IJCSIT 2016	IJCSIT	2016	International Journal of Computer Science and Information Technology	N/A
IJCSEA 2016	IJCSEA	2016	International Journal of Computer Science, Engineering and Applications	N/A
ICNCC - ACM 2016	ICNCC - ACM	2016	5th International Conference on Network, Communication and Computing - ACM	Kyoto, Japan
L@S 2017	L@S	2017	L@S 2017: Fourth Annual ACM Conference on Learning at Scale	Massachusetts Institute of Technology, C
IJE 2016	IJE	2016	International Journal of Education	N/A
SPTM 2016	SPTM	2016	Fourth International Conference of Security, Privacy and Trust Management	Chennai, India
EEIEJ 2016	EEIEJ	2016	Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal	N/A
PAKDD 2017	PAKDD	2017	The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
ICINS-ACM 2016	ICINS-ACM	2016	2016 4th International Conference on Information and Network Security (ICINS 2016)--Ei Compendex	Kuala Lumpur, Malaysia
DASFAA 2017	DASFAA	2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
IFAC World Congress SIMCA 2017	IFAC World Congress SIMCA	2017	IFAC WORLD CONGRESS '2017 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Toulouse, France
ECSA 2016	ECSA	2016	3rd International Electronic Conference on Sensors and Applications - Smart Systems and Structures	online
ICBDA 2017	ICBDA	2017	The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex	Beijing, China
Archiving 2017	Archiving	2017	IS&T Archiving Conference 2017	Riga, Latvia
iDSC 2017	iDSC	2017	1st International Data Science Conference	Salzburg, Austria
IEEE BigComp 2017	IEEE BigComp	2017	[Deadline Extension Oct 21, 2016] 2017 IEEE International Conference on Big Data and Smart Computing	Jeju Island
ICDPR 2017	ICDPR	2017	2017 International Conference on Data Processing and Robotics (ICDPR 2017)—Ei&Scopus	Kuala Lumpur,Malaysia
