BDM	2016	5Th PAKDD workshop on Bio-Inspired Data Mining - Auckland, NZ.	AUCKLAND
ICCIS	2016	International Conference on Communication and Information Systems	BANGKOK
ICMDM	2016	3rd International Conference on Mechanical Design and Manufacturing - SCOPUS, Ei	JEJU ISLAND
4DML in Biometrics	2015	4D's of Machine Learning in Biometrics: Deep Learning, Dictionary Learning, Domain Adaptation, and Distance Metric Learning	USA
ICITCS	2016	International Conference on IT Convergence and Security	PRAGUE
ICISA	2017	ICISA International Conference on Information Sience and Applications	MACAU
AAIA	2016	11th International Symposium Advances in Artificial Intelligence and Applications	GDANSK
AAMAS	2017	International Conference on Autonomous Agents and Multiagent Systems	SAO PAULO
ACALCI	2016	Australasian Conference on Artificial Life and Computational Intelligence	CANBERRA
ACCVW-MLAC	2016	ACCV'16 Workshop on Multi-view Lip-reading & Audio-visual Challenges	TAIPEI
ACIIDS	2012	The 4th Asian Conference on Intelligent Information and Database Systems	KAOHSIUNG
ACIIDS	2013	Special Session on Intelligent Recommended Systems	KUALA LUMPUR
ACIRS	2016	IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	TOKYO
ACIRS	2017	2nd IEEE Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)-IEEE Xplore, Ei Compendex	WUHAN
ACIRS-IEEE	2017	IEEE - 2nd Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)	WUHAN
ACIS	2016	The Fifth Asian Conference on Information Systems	KRABI
ACM - DTTA Track	2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track	COIMBRA
ACM--ICDLT	2017	ACM--2017 International Conference on Deep Learning Technologies (ICDLT 2017)--Ei Compendex and Scopus	CHENGDU
ACML	2015	7th Asian Conference on Machine Learning	HONG KONG
ACML	2016	8th Asian Conference on Machine Learning	HAMILTON
ACMME	2016	Ei,ISI,Scopu--2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)	KUALA LUMPUR
ACMME--EI	2016	2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)--Ei,ISI,Scopu	KUALA LUMPUR
ACM SAC-RS	2017	ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	MARRAKECH
ACSTY	2016	Second International Conference on Advances in Computer Science and Information Technology	CHENNAI
ACTION	15	Actionable Analytics for SE	LINCOLN
ACTIVE	2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	SAN DIEGO
ADAPT	2016	The 6th International Workshop on Adaptive Self-tuning Computing Systems	PRAGUE
Adaptive NLP	2015	Workshop on Adaptive Natural Language Processing at IJCAI 2015	BUENOS AIRES
ADBIS	2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	VIENNA
ADBIS	2015	[ADBIS'2015]: Call for Workshop Proposals	POITIERS
ADBIS	2017	21st European Conference on Advances in Databases and Information Systems	NICOSIA
ADBIS - Workshops	2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	NICOSIA
ADC	2012	Australasian Database Conference	MELBOURNE
ADC	2014	The 25th Australasian Database Conference	BRISBANE
ADC	2015	Australasian Database Conference	MELBOURNE
ADMA	2016	Advanced Data Mining and Applications	GOLD COAST
ADMI	2016	The Eleventh International Workshop on Agents and Data Mining Interaction	SINGAPORE
ADS	2017	ACIIDS 2017 Special Session on Applications of Data Science	KANAZAWA
Advances in Learning with Kernels@ESANN	2016	**deadline extended** Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	BRUGES
AECIA	2015	Second International Afro-European Conference for Industrial Advancement	PARIS
AECIA	2016	Third International Afro-European Conference for Industrial Advancement	MARRAKESH
AECM	2014	Workshop on Applied Enterprise Content Management	MUNICH
AFRICOMM	2016	8th EAI International Conference on e‐Infrastructure and e‐Services for Developing Countries	OUAGADOUGOU
AGI	2015	Artificial General Intelligence	BERLIN
AGI	2016	Artificial General Intelligence	NEW YORK
AI*AAL.it	2016	Second Italian Workshop on Artificial Intelligence for Ambient Assisted Living	GENOVA
AI & FL	2016	Fourth International Conference of Artificial Intelligence and Fuzzy Logic	DUBAI
AI	2016	29th Canadian Conference on Artificial Intelligence	VICTORIA
AI Joint Conference	2016	The 29th Australasian Joint Conference on Artificial Intelligence	HOBART
AIACT	2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2017)	WUHAN
AIAP	2016	3rd International Conference on Artificial Intelligence and Applications	VIENNA
AIAPP	2016	Third International Conference on Artificial Intelligence and Applications	GENEVA
AIC	2016	AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	NEW YORK
AICS	2016	24th Irish Conference on Artificial Intelligence and Cognitive Science	DUBLIN
AIFZ	2016	Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	CHENNAI
AI-HRI	2016	AAAI Fall Symposium on Artificial Intelligence for Human-Robot Interaction	ARLINGTON
AIKED	2012	11th WSEAS International Conference on ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING and DATA BASES	CAMBRIDGE
AIM@EPIA	2017	Artificial Intelligence in Medicine	PORTO
AIMA	2016	6th International Workshop on Artificial Intelligence in Medical Applications	GDANSK
AIMaViG	2016	2nd International Workshop on Artificial Intelligence in Machine Vision and Graphics	GDANSK
AIoT	2016	Special session “Affordances in the Internet of Things” (AIoT) at COIOTE ‘16	COVILHÃ
AIPR	2016	Applied Imagery Pattern Recognition	WASHINGTON DC
AIR	2016	Artificial Intelligence and Robotics Conference	NANJING
AIRIM	2016	1st International Workshop on AI aspects of Reasoning, Information, and Memory	GDANSK
AISC	2017	Fifth International Conference on Artificial Intelligence, Soft Computing	ZURICH
AISec	2015	8th ACM Workshop on Artificial Intelligence and Security	DENVER
AISI	2015	International Conference on Advanced Intelligent Systems and Informatics	BENI SUEF
AISI	2016	The 2nd International Conference on Advanced Intelligent Systems and Informatics (AISI’16)	EGYPT
AISO	2016	Second International Conference on Artificial Intelligence and Soft Computing	DUBAI
AISTATS	2016	The 19th International Conference on Artificial Intelligence and Statistics	CADIZ
AISTATS	2017	The 20th International Conference on Artificial Intelligence and Statistics	FORT LAUDERDALE
AITIC	2016	2016 Applied Informatics and Technology Innovation Conference	NEWCASTLE
AIVAHC	2016	Affective Interaction with Virtual Assistants within the Healthcare Context	CANCUN
AKTS	2016	Special Session on Innovative Applications for Knowledge Transfer Support	DRUSKININKAI
ALA	2016	Adaptive Learning Agents	SINGAPORE
ALatIKNOW	2016	Active Learning: Applications, Foundations and Emerging Trends	GRAZ
ALICE	2016	6th International Workshop on Adaptive Learning via Interactive, Collaborative and Emotional approaches	OSTRAVA
AMCIS	2011	Minitrack: Business Process Management and Innovation	DETROIT
AmILP@ECAI	2016	First International Workshop on Ambient Intelligence for Large Premises	THE HAGUE
AMW	2011	5th Alberto Mendelzon Workshop on Foundations of Data Management	SANTIAGO
AMW	2012	6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	OURO PRETO
AMW	2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	PUEBLA/CHOLULA
AMW	2016	The 10th Alberto Mendelzon International Workshop on Foundations of Data Management (AMW 2016)	PANAMA CITY
ANNPR	2016	Artificial Neural Networks for Pattern Recognition	ULM UNIVERSITY
APCCM	2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	ADELAIDE
APCCM	2014	Tenth Asia-Pacific Conference on Conceptual Modelling	AUCKLAND
APWeb	2014	Call for Demo: The 16th Asia-Pacific Web Conference	CHANGSHA
APWeb	2016	Asia-Pacific Web Conference	SUZHOU
Archiving	2017	IS&T Archiving Conference 2017	RIGA
ARIA	2016	Third International Conference on Artificial Intelligence & Applications	SYDNEY
ARIN	2016	Second International Conference on Artificial Intelligence	VIENNA
Artificial Intelligence Workshop - ENC	2016	Artificial Intelligence Workshop: Methods and applications - At Mexican International Conference on Computer Science 2016 (ENC 2016)	CHIHUAHUA
ASC	2017	The International Workshop on Affective and Sentimental Computing	JEJU ISLAND
ASE BigData	2015	The Fifth ASE International Conference on Big Data	KAOHSIUNG
ASE SocialInformatics	2015	The Fourth ASE International Conference on Social Informatics	KAOHSIUNG
ASIIS (ACM SAC)	2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	COIMBRA
ASONAM	2015	Advances in Social Networks Analysis and Mining	PARIS
AT	2016	INTERNATIONAL CONFERENCE ON AGREEMENT TECHNOLOGIES	VALENCIA
ATGRC	2014	The International Workshop on Advanced Technologies for Governance, Risk and Compliance	MUNICH
ATSS	2016	6th IEEE International Workshop on Artificial Transportation Systems and Simulation	RIO DE JANEIRO
ATT	2016	Ninth International Workshop on Agents in Traffic and Transportation	NEW YORK
AV+EC	2015	AV+EC 2015 - 5th International Audio/Visual+ Emotion Challenge and Workshop	BRISBANE
AWRL	2016	First Asian Workshop on Reinforcement Learning	HAMILTON
BAFI	2015	Business Analytics in Finance and Industry	SANTIAGO
Balisage	2011	Balisage: The Markup Conference	MONTREAL
Baltic DB&IS, DC	2016	Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	RIGA
Baltic DB&IS	2012	10th International Baltic Conference on Data Bases and Information Systems	VILNIUS
Baltic DB&IS	2014	The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	TALLINN
BBC	2016	9th Workshop on Biomedical and Bioinformatics Challenges for Computer Science - BBC2016	SAN DIEGO
BBH	2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	WASHINGTON DC
BDAS	2012	Bazy Danych - Aplikacje i Systemy	USTRON
BDAS	2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	USTRON
BDAS	2014	10th IEEE International Conference Beyond Databases, Architectures and Structures	USTRON
BDAS	2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	USTRON NEAR KRAKOW
BDAS	2016	12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	USTRON NEAR KRAKOW
BDAS	2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	USTRON NEAR KRAKOW
BDI	2013	International Symposium on Biomedical Data infrastructure	KUALA LUMPUR
BDL	2016	Workshop on Big Data & Deep Learning in HPC [Springer LNCS]	PORTO
BDQM	2016	The 1st International Workshop on Big Data Quality Management	DALLAS
BDSAV	2013	The 1st International Workshop on Big Data Storage, Analytics, and Visualization	WASHINGTON DC
BDTA	2016	7th EAI International Conference on Big Data Technologies and Applications	SEOUL
BEWEB	2013	4th International Workshop on Business IntelligencE and the Web	GENOA
BeyondLabeler	2016	IJCAI 2016 Workshop: Human is More Than a Labeler	NEW YORK
BICOD	2015	30th British International Conference on Databases	EDINBURGH
BiDaDA	2013	1st Workshop on Biological Data mining and Database Applications	DALLAS
BiDaTA	2013	Adbis Special session on Big Data: New Trends and Applications	GENOA
BigComp Workshop	2017	BigComp 2017 Call for Workshop Proposals	JEJU
BigD2M	2015	Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	LONDON
BigD2M	2016	2nd Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	MADRID
Big Data & Analytics - ANT	2015	Big Data and Analytics Track (ANT 2015)	LONDON
BIGDATA	2012	Workshop on End-to-End Management of Big Data	ISTANBUL
BIGDATA	2015	The Second International Conference on Data Mining, Internet Computing, and Big Data (BigData2015)	REDUIT
Big Data	2015	The 3rd International Workshop on Big Data	XI'AN
BigData	2016	The Third International Conference on Data Mining, Internet Computing, and Big Data	MEVLANA UNIVERSITY
Big Data	2016	International Conference on Big Data	ALICANTE
BigData4Healthcare	2016	1st International Workshop on Big Data Analytics for Healthcare and Well-being	HONG KONG
Big Data Analytics@IJCNN	2017	Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	ANCHORAGE
BIGDATA-ASH	2015	2nd WORKSHOP ON ADVANCES IN SOFTWARE AND HARDWARE FOR BIG DATA TO KNOWLEDGE DISCOVERY (ASH)	SANTA CLARA
BigData-BMLIT	2016	IEEE Workshop on Big Data and Machine Learning in Telecom In conjunction with the 2016 IEEE International Conference on Big Data	WASHINGTON DC
BigDataSE	2015	The 9th IEEE International Conference on Big Data Science and Engineering (IEEE BigDataSE-15)	HELSINKI
Big Data Workshop	2015	Big Data Mining to Improve Clinical Effectiveness	SANTA CLARA
BigDAW	2016	Workshop on Big Data Analytics (BigDAW16) at Computing Frontiers 2016	COMO
BigDF	2016	IEEE International Workshop on Foundations of Big Data Computing	HYDERABAD
Big EMPS	2016	Workshop on Big Data and Analytics for Emergency Management and Public Safety	WASHINGTON DC
BigGraphs	2015	The Second International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs 2015)	SANTA CLARA
BigGraphs	2016	Third IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	WASHINGTON DC
BIGProv	2013	International Workshop on Managing and Querying Provenance Data at Scale	GENOVA
BigScholar	2015	The Second WWW Workshop on Big Scholarly Data @ WWW 2015	FLORENCE
BigSys	2014	Workshop on System Software Support for Big Data	STUTTGART
BIOKDD	2015	6th International Workshop on Biological Knowledge Discovery and Data Mining	VALENCIA
BIOKDD	2016	Biological Knowledge Discovery and Data Mining	PORTO
BIRTE	2012	VLDB12 Workshop on Real-Time Business Intelligence	ISTANBUL
BIRTE	2013	Seventh International Workshop on Real-Time Business Intelligence	TRENTO
BIRTE	2014	Eighth International Workshop on Real-Time Business Intelligence	HANGZHOU
BiSIP	2016	Call for Book Chapters: Biomedical Signal and Image Processing in Patient Care	INDIA
BNCOD	2011	BNCOD 2011: 28th British National Conference on Databases	MANCHESTER
BNCOD	2013	29th British National Conference on Databases	UNIVERSITY OF OXFORD
BOOM	2016	IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	NEW YORK
Bridging	2016	Bridging the Gap between Human and Automated Reasoning	AN IJCAI
BTW	2017	The 17th Conference on Database Systems for Business, Technology, and Web	STUTTGART
BUDA	2014	Workshop on Big Uncertain Data	SNOWBIRD
CABDA@CYBCONF	2015	Special Session on Computational Aspects of Big Data Analysis	GDYNIA
CACRE	2016	EI & Scopus--2016 International Conference on Automation, Control and Robotics Engineering (CACRE 2016)	KITAKYUSHU
CACS	2016	Fourth Annual Conference on Advances in Cognitive Systems	EVANSTON
CAIA	2011	Context Aware Intelligent Assistance	BERLIN
Call for Book Chapters	2016	Data Mining in Time Series and Streaming Databases	WORLD SCIENTIFIC
CAP	2016	Conférence francophone sur l’apprentissage automatique	MARSEILLE
C-Big	2012	International Workshop on Collaborative Big Data	PITTSBURGH
CBR@FLAIRS	2017	FLAIRS-30 Special Track on Case-Based Reasoning	MARCO ISLAND
CCC@ICCBR	2016	Computer Cooking Contest at the 24th International Conference on Case-based Reasoning	ATLANTA
CCEAI	2017	2017 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2017)--EI&Scopus	KUALA LUMPUR
CCIA	2016	19 th International Conference of the Catalan Association for Artificial Intelligence	UNIVERSITAT POMPEU FABRA
CCISP-EI	2016	2016 International Conference on Communication, Image and Signal Processing	DUBAI
CCKS	2016	China Conference on Knowledge Graph and Semantic Computing	BEIJING
CCKS-Challenge	2016	CCKS2016 - Call for Task Proposals	BEIJING
CCML	2017	The 16th China Conference on Machine Learning	TIANJIN CHINA
CCSEA	2017	Seventh International Conference on Computer Science, Engineering and Applications	DUBAI
CCSEIT	2016	6 th International Conference on Computer Science, Engineering and Information Technology	VIENNA
